"","ID","Northing","Easting","Elev","Code","ConNum"
"436",5,15373341.75,1069747.984,580.859,"ELMH",""
"437",385,15371529.21,1066396.428,597.18,"CB","200311"
"438",1,15374284.34,1071564.247,571.65,"CB","101266"
"439",302,15373595.32,1070074.27,577.32,"CB","200434"
"440",11,15374253.3,1071513.131,572.391,"STMH","101264"
"441",31,15377071.38,1076500.667,576.342,"MH",""
"442",18,15376615.41,1075804.223,573.1,"MH","200784"
"443",358,15372931.94,1068766.57,578.929,"CB","200536"
"444",129,15373982.33,1071120.147,578.392,"CB","101122"
"445",83,15374736.94,1071956.444,575.639,"CB","302298"
"446",15,15374473.02,1071828.461,573.32,"CB","101307"
"447",308,15373304.04,1069496.288,583.046,"CB","200446"
"448",263,15372132.09,1067312.45,579.012,"CB","200346"
"449",110,15372786.92,1068672.12,580.48,"STMH","200274"
"450",32,15375885.23,1073933.524,580.357,"CB","600922"
"451",30,15375813.58,1073999.035,581.094,"ELMH",""
"452",58,15374603.23,1071768.766,573.344,"CB","302324"
"453",40,15374340.43,1071514.59,571.819,"CB","601263"
"454",7,15376401.65,1075151.5,567.53,"MH","200753"
"455",268,15372111.08,1067307.6,578.98,"CB","200351"
"456",78,15372144.85,1067313.8,579.11,"STMH","200044"
"457",318,15373239.28,1069528.57,583.064,"CB","200464"
"458",128,15373873.54,1070924.908,580.707,"CB","101013"
"459",40,15375250.57,1072832.217,577.536,"STMH","302156"
"460",55,15375655.91,1073490.598,574.484,"CB","600874"
"461",150,15374197.76,1071195.232,574.165,"CB","601099"
"462",72,15373539.57,1070103.994,577.389,"CB","302480"
"463",76,15371863.39,1066974.66,581.833,"STMH","200022"
"464",161,15375509.32,1073379.818,573.613,"CB","101715"
"465",51,15371938.97,1066987.75,583.18,"ELMH","200019"
"466",111,15372739.04,1068576.65,582.31,"STMH","200275"
"467",127,15373728.26,1070703.024,580.569,"CB","101115"
"468",42,15373115.36,1069299.275,583.979,"ELMH","200170"
"469",45,15374199.38,1071194.056,574.156,"CB","601099"
"470",362,15372879.37,1068792.39,579.025,"CB","200540"
"471",93,15375228.65,1072687.008,579.324,"CB","302124"
"472",60,15373669.15,1070200.967,577.757,"CB","200389"
"473",383,15372876.85,1068965.695,579.89,"CB",""
"474",24,15374389.52,1071480.646,572.134,"STMH","601235"
"475",67,15375785.59,1073990.569,581.367,"STMH","601418"
